iter	Passed	Remaining
913	37608	3538
914	37647	3497
915	37686	3455
916	37741	3416
917	37776	3374
918	37814	3332
919	37857	3291
920	37902	3251
921	37947	3210
922	37977	3168
923	38023	3127
924	38068	3086
925	38106	3045
926	38143	3003
927	38184	2962
928	38224	2921
929	38268	2880
930	38311	2839
931	38344	2797
932	38382	2756
933	38429	2715
934	38475	2674
935	38521	2633
936	38552	2592
937	38598	2551
938	38641	2510
939	38686	2469
940	38733	2428
941	38794	2388
942	38834	2347
943	38875	2306
944	38915	2264
945	38953	2223
946	38992	2182
947	39029	2140
948	39074	2099
949	39115	2058
950	39155	2017
951	39198	1976
952	39237	1935
953	39277	1893
954	39325	1853
955	39369	1811
956	39406	1770
957	39445	1729
958	39477	1687
959	39524	1646
960	39564	1605
961	39597	1564
962	39640	1523
963	39671	1481
964	39714	1440
965	39761	1399
966	39823	1359
967	39865	1317
968	39911	1276
969	39960	1235
970	40005	1194
971	40049	1153
972	40089	1112
973	40134	1071
974	40175	1030
975	40222	989
976	40261	947
977	40310	906
978	40347	865
979	40389	824
980	40426	782
981	40474	741
982	40521	700
983	40564	659
984	40601	618
985	40641	577
986	40686	535
987	40733	494
988	40780	453
989	40838	412
990	40883	371
991	40929	330
992	40975	288
993	41021	247
994	41069	206
995	41115	165
996	41155	123
997	41197	82
998	41246	41
999	41290	0
